Model,MAE,RMSE,MdAE,Exact Match,Within-1,Within-2,Non-zero MAE,Extraction Rate,N
llama3_8b,0.10011641443538999,0.807416149320742,0.0,0.9604190919674039,0.9860302677532014,0.9906868451688009,0.13148148148148148,1.0,859
mistral_7b,0.15366705471478465,1.2092002764216745,0.0,0.9580908032596042,0.9767171129220024,0.9837019790454016,0.1685185185185185,1.0,859
mixtral_8x7b,0.1362048894062864,0.9262690693444395,0.0,0.9545983701979045,0.9778812572759022,0.9837019790454016,0.18888888888888888,1.0,859
flan_t5_xl,1.5587892898719442,13.05397588397922,0.0,0.7625145518044237,0.9022118742724098,0.9324796274738067,0.7092592592592593,1.0,859
gpt4o_mini,0.11292200232828871,1.1615693290415192,0.0,0.9732246798603027,0.9871944121071012,0.9930151338766007,0.11481481481481481,1.0,859
gemini_flash,0.30151338766006985,2.34731660135742,0.0,0.9511059371362048,0.9708963911525029,0.980209545983702,0.4148148148148148,1.0,859
