fraction_raw,fraction_label,subset_size,model_raw,model_label,eval_loss,eval_accuracy,eval_f1_macro,eval_f1_weighted,Security_precision,Security_recall,Security_f1-score,Security_support,Maoist_precision,Maoist_recall,Maoist_f1-score,Maoist_support,Unknown_precision,Unknown_recall,Unknown_f1-score,Unknown_support,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1-score,macro_avg_support,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1-score,weighted_avg_support,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,train_support_Maoist,train_support_Security,train_support_Unknown
0.03125,3%,247,bert-base-cased,BERT,0.7492059469223022,0.7227822580645161,0.47528200469376936,0.6870045533470581,0.9900990099009901,0.468384074941452,0.6359300476947536,427.0,0.6544303797468355,0.9961464354527938,0.7899159663865546,519.0,0.0,0.0,0.0,46.0,0.7227822580645161,0.5481764632159418,0.48817683679808194,0.47528200469376936,992.0,0.7685702059640428,0.7227822580645161,0.6870045533470581,992.0,1.9883,498.927,15.591,2.0,141,100,6
0.03125,3%,247,snowood1/ConfliBERT-scr-cased,ConfliBERT,0.6760039329528809,0.8366935483870968,0.5700584888323438,0.8161561175793113,0.9275766016713092,0.7798594847775175,0.8473282442748091,427.0,0.7851500789889415,0.9576107899807321,0.8628472222222222,519.0,0.0,0.0,0.0,46.0,0.8366935483870968,0.5709088935534169,0.5791567582527498,0.5700584888323438,992.0,0.8100484878114009,0.8366935483870968,0.8161561175793113,992.0,1.9605,505.981,15.812,2.0,141,100,6
0.03125,3%,247,FacebookAI/roberta-base,RoBERTa,0.8118160367012024,0.7983870967741935,0.5440248340826376,0.7798902329749103,0.758985200845666,0.8407494145199064,0.7977777777777778,427.0,0.8342967244701349,0.8342967244701349,0.8342967244701349,519.0,0.0,0.0,0.0,46.0,0.7983870967741935,0.531093975105267,0.5583487129966804,0.5440248340826376,992.0,0.7631922185091727,0.7983870967741935,0.7798902329749103,992.0,1.9411,511.05,15.97,2.0,141,100,6
0.03125,3%,247,distilbert-base-cased,DistilBERT,0.7186282873153687,0.8377016129032258,0.5705291482163616,0.816862025006036,0.975609756097561,0.7494145199063232,0.847682119205298,427.0,0.7695783132530121,0.9845857418111753,0.863905325443787,519.0,0.0,0.0,0.0,46.0,0.8377016129032258,0.581729356450191,0.5780000872391662,0.5705291482163616,992.0,0.8225771274515844,0.8377016129032258,0.816862025006036,992.0,1.2309,805.914,25.185,2.0,141,100,6
0.03125,3%,247,xlnet-base-cased,XLNet,0.7067458629608154,0.7520161290322581,0.5129449976130397,0.7319870642491084,0.6920353982300885,0.9156908665105387,0.7883064516129032,427.0,0.8313817330210773,0.6840077071290944,0.7505285412262156,519.0,0.0,0.0,0.0,46.0,0.7520161290322581,0.5078057104170552,0.5332328578798777,0.5129449976130397,992.0,0.7328490266957529,0.7520161290322581,0.7319870642491084,992.0,2.7583,359.648,11.239,2.0,141,100,6
0.03125,3%,247,google/electra-base-discriminator,ELECTRA,0.7924532890319824,0.5584677419354839,0.28600726773655233,0.43451356229520816,0.972972972972973,0.08430913348946135,0.15517241379310345,427.0,0.5424083769633508,0.9980732177263969,0.7028493894165536,519.0,0.0,0.0,0.0,46.0,0.5584677419354839,0.5051271166454413,0.3607941170719528,0.28600726773655233,992.0,0.7025901281284662,0.5584677419354839,0.43451356229520816,992.0,2.1166,468.684,14.646,2.0,141,100,6
0.0625,6%,495,bert-base-cased,BERT,0.33835986256599426,0.8881048387096774,0.7125689351741403,0.8809459316801049,0.8951048951048951,0.8992974238875878,0.897196261682243,427.0,0.8983364140480592,0.9364161849710982,0.9169811320754717,519.0,0.5,0.2391304347826087,0.3235294117647059,46.0,0.8881048387096774,0.7644804363843182,0.6916146812137649,0.7125689351741403,992.0,0.8784741825612227,0.8881048387096774,0.8809459316801049,992.0,2.0154,492.204,15.381,2.0,273,205,17
0.0625,6%,495,snowood1/ConfliBERT-scr-cased,ConfliBERT,0.32243093848228455,0.8911290322580645,0.6079010885633651,0.8699783934694869,0.8861607142857143,0.9297423887587822,0.9074285714285715,427.0,0.8952205882352942,0.9383429672447013,0.916274694261524,519.0,0.0,0.0,0.0,46.0,0.8911290322580645,0.5937937675070027,0.6226951186678279,0.6079010885633651,992.0,0.8498085789255219,0.8911290322580645,0.8699783934694869,992.0,2.0249,489.904,15.309,2.0,273,205,17
0.0625,6%,495,FacebookAI/roberta-base,RoBERTa,0.32886677980422974,0.8941532258064516,0.6097549426421733,0.8735062668207967,0.8428571428571429,0.9672131147540983,0.9007633587786259,427.0,0.9442231075697212,0.9132947976878613,0.9285014691478942,519.0,0.0,0.0,0.0,46.0,0.8941532258064516,0.5956934168089547,0.6268359708139865,0.6097549426421733,992.0,0.856806242770852,0.8941532258064516,0.8735062668207967,992.0,1.9443,510.2,15.944,2.0,273,205,17
0.0625,6%,495,distilbert-base-cased,DistilBERT,0.39368680119514465,0.8669354838709677,0.592169098208735,0.846605371602265,0.9269521410579346,0.8618266978922716,0.8932038834951457,427.0,0.826890756302521,0.9479768786127167,0.8833034111310593,519.0,0.0,0.0,0.0,46.0,0.8669354838709677,0.5846142991201518,0.6032678588349961,0.592169098208735,992.0,0.8316178092265589,0.8669354838709677,0.846605371602265,992.0,1.2084,820.922,25.654,2.0,273,205,17
0.0625,6%,495,xlnet-base-cased,XLNet,0.34014061093330383,0.8881048387096774,0.606668718580076,0.8671602428538806,0.9158878504672897,0.9180327868852459,0.9169590643274854,427.0,0.8670212765957447,0.9421965317919075,0.9030470914127424,519.0,0.0,0.0,0.0,46.0,0.8881048387096774,0.5943030423543448,0.6200764395590511,0.606668718580076,992.0,0.8478509624019397,0.8881048387096774,0.8671602428538806,992.0,2.7848,356.216,11.132,2.0,273,205,17
0.0625,6%,495,google/electra-base-discriminator,ELECTRA,0.47520989179611206,0.8800403225806451,0.60132320509679,0.859499865624333,0.9422110552763819,0.8782201405152225,0.9090909090909091,427.0,0.8383838383838383,0.9595375722543352,0.894878706199461,519.0,0.0,0.0,0.0,46.0,0.8800403225806451,0.5935316312200735,0.6125859042565193,0.60132320509679,992.0,0.8441989241171646,0.8800403225806451,0.859499865624333,992.0,2.1447,462.526,14.454,2.0,273,205,17
0.125,12%,991,bert-base-cased,BERT,0.22909367084503174,0.9233870967741935,0.8163579588863422,0.921397025035635,0.9020044543429844,0.9484777517564403,0.9246575342465754,427.0,0.9587426326129665,0.9402697495183044,0.9494163424124513,519.0,0.6764705882352942,0.5,0.575,46.0,0.9233870967741935,0.8457392250637484,0.7962491670915816,0.8163579588863422,992.0,0.9212308219651285,0.9233870967741935,0.921397025035635,992.0,1.9962,496.936,15.529,2.0,534,424,33
0.125,12%,991,snowood1/ConfliBERT-scr-cased,ConfliBERT,0.22854678332805634,0.9213709677419355,0.7701255886765374,0.9157560105191389,0.8964757709251101,0.9531615925058547,0.923950056753689,427.0,0.9553398058252427,0.9479768786127167,0.9516441005802708,519.0,0.6521739130434783,0.32608695652173914,0.43478260869565216,46.0,0.9213709677419355,0.8346631632646103,0.7424084758801035,0.7701255886765374,992.0,0.9159440659358095,0.9213709677419355,0.9157560105191389,992.0,1.9824,500.415,15.638,2.0,534,424,33
0.125,12%,991,FacebookAI/roberta-base,RoBERTa,0.3138900399208069,0.9092741935483871,0.6592085989808277,0.8933000510908409,0.8403193612774451,0.9859484777517564,0.9073275862068966,427.0,0.9815195071868583,0.9210019267822736,0.9502982107355865,519.0,0.75,0.06521739130434782,0.12,46.0,0.9092741935483871,0.8572796228214346,0.6573892652794593,0.6592085989808277,992.0,0.9100050317494441,0.9092741935483871,0.8933000510908409,992.0,1.9459,509.785,15.931,2.0,534,424,33
0.125,12%,991,distilbert-base-cased,DistilBERT,0.26541075110435486,0.90625,0.6178151562928434,0.8850273456848647,0.8720682302771855,0.9578454332552693,0.9129464285714286,427.0,0.9369024856596558,0.9441233140655106,0.9404990403071017,519.0,0.0,0.0,0.0,46.0,0.90625,0.6029902386456137,0.63398958244026,0.6178151562928434,992.0,0.865549923775927,0.90625,0.8850273456848647,992.0,1.2433,797.89,24.934,2.0,534,424,33
0.125,12%,991,xlnet-base-cased,XLNet,0.3008764982223511,0.8961693548387096,0.6474529971660181,0.8827073211445675,0.8422131147540983,0.9625292740046838,0.898360655737705,427.0,0.9634888438133874,0.9152215799614644,0.9387351778656127,519.0,0.2727272727272727,0.06521739130434782,0.10526315789473684,46.0,0.8961693548387096,0.6928097437649194,0.6476560817568321,0.6474529971660181,992.0,0.8792552061336719,0.8961693548387096,0.8827073211445675,992.0,2.761,359.292,11.228,2.0,534,424,33
