fraction_raw,fraction_label,subset_size,model_raw,model_label,eval_loss,eval_hamming_loss,eval_subset_accuracy,eval_armed_assault_precision,eval_armed_assault_recall,eval_armed_assault_f1-score,eval_armed_assault_support,eval_arrest_precision,eval_arrest_recall,eval_arrest_f1-score,eval_arrest_support,eval_bombing_precision,eval_bombing_recall,eval_bombing_f1-score,eval_bombing_support,eval_infrastructure_precision,eval_infrastructure_recall,eval_infrastructure_f1-score,eval_infrastructure_support,eval_surrender_precision,eval_surrender_recall,eval_surrender_f1-score,eval_surrender_support,eval_seizure_precision,eval_seizure_recall,eval_seizure_f1-score,eval_seizure_support,eval_abduction_precision,eval_abduction_recall,eval_abduction_f1-score,eval_abduction_support,eval_micro avg_precision,eval_micro avg_recall,eval_micro avg_f1-score,eval_micro avg_support,eval_macro avg_precision,eval_macro avg_recall,eval_macro avg_f1-score,eval_macro avg_support,eval_weighted avg_precision,eval_weighted avg_recall,eval_weighted avg_f1-score,eval_weighted avg_support,eval_samples avg_precision,eval_samples avg_recall,eval_samples avg_f1-score,eval_samples avg_support,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.125,12%,1240,google/electra-base-discriminator,ELECTRA,0.45445388555526733,0.18681318681318682,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.1525,85.269,6.559,2.0
0.25,25%,2480,bert-base-cased,BERT,0.1957596391439438,0.05714285714285714,0.64,0.8,0.8,0.8,5.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,2.0,1.0,0.5,0.6666666666666666,2.0,1.0,1.0,1.0,5.0,1.0,0.7142857142857143,0.8333333333333334,7.0,0.0,0.0,0.0,3.0,0.9565217391304348,0.7096774193548387,0.8148148148148148,31.0,0.6857142857142857,0.573469387755102,0.6142857142857142,31.0,0.8064516129032258,0.7096774193548387,0.7473118279569894,31.0,0.76,0.7,0.72,31.0,0.2351,106.316,8.505,2.0
0.25,25%,2480,snowood1/ConfliBERT-scr-cased,ConfliBERT,0.14078214764595032,0.022857142857142857,0.84,1.0,0.8,0.8888888888888888,5.0,0.875,1.0,0.9333333333333333,7.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,0.8571428571428571,0.9230769230769231,7.0,1.0,0.6666666666666666,0.8,3.0,0.9655172413793104,0.9032258064516129,0.9333333333333333,31.0,0.9821428571428571,0.9034013605442176,0.935042735042735,31.0,0.9717741935483871,0.9032258064516129,0.9303005238489109,31.0,0.98,0.94,0.9466666666666665,31.0,0.214,116.848,9.348,2.0
0.25,25%,2480,FacebookAI/roberta-base,RoBERTa,0.1603652536869049,0.022857142857142857,0.84,1.0,0.8,0.8888888888888888,5.0,0.875,1.0,0.9333333333333333,7.0,1.0,1.0,1.0,2.0,1.0,0.5,0.6666666666666666,2.0,1.0,1.0,1.0,5.0,1.0,0.8571428571428571,0.9230769230769231,7.0,1.0,1.0,1.0,3.0,0.9655172413793104,0.9032258064516129,0.9333333333333333,31.0,0.9821428571428571,0.8795918367346938,0.9159951159951161,31.0,0.9717741935483871,0.9032258064516129,0.9281499862145023,31.0,0.94,0.92,0.92,31.0,0.2172,115.096,9.208,2.0
0.25,25%,2480,distilbert-base-cased,DistilBERT,0.2528427839279175,0.10285714285714286,0.4,0.6666666666666666,0.8,0.7272727272727273,5.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.8,0.8888888888888888,5.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.8823529411764706,0.4838709677419355,0.625,31.0,0.38095238095238093,0.37142857142857144,0.3737373737373737,31.0,0.49462365591397844,0.4838709677419355,0.4864776800260671,31.0,0.6,0.5,0.5333333333333333,31.0,0.1401,178.423,14.274,2.0
0.25,25%,2480,xlnet-base-cased,XLNet,0.09176342189311981,0.017142857142857144,0.92,1.0,0.8,0.8888888888888888,5.0,1.0,1.0,1.0,7.0,0.6666666666666666,1.0,0.8,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,0.8571428571428571,0.9230769230769231,7.0,1.0,1.0,1.0,3.0,0.9666666666666667,0.9354838709677419,0.9508196721311475,31.0,0.9523809523809523,0.9510204081632653,0.9445665445665447,31.0,0.9784946236559141,0.9354838709677419,0.9518059001929969,31.0,0.96,0.94,0.9466666666666665,31.0,0.4192,59.641,4.771,2.0
0.25,25%,2480,google/electra-base-discriminator,ELECTRA,0.33477306365966797,0.12571428571428572,0.24,0.8,0.8,0.8,5.0,0.875,1.0,0.9333333333333333,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.8461538461538461,0.3548387096774194,0.5,31.0,0.2392857142857143,0.2571428571428572,0.24761904761904763,31.0,0.32661290322580644,0.3548387096774194,0.33978494623655914,31.0,0.44,0.34,0.3733333333333333,31.0,0.256,97.641,7.811,2.0
0.5,50%,4960,bert-base-cased,BERT,0.13023941218852997,0.02857142857142857,0.82,0.9230769230769231,0.8571428571428571,0.8888888888888888,14.0,1.0,1.0,1.0,15.0,0.9090909090909091,1.0,0.9523809523809523,10.0,1.0,0.6,0.75,5.0,1.0,1.0,1.0,5.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0,1.0,0.5,0.6666666666666666,4.0,0.9516129032258065,0.8939393939393939,0.921875,66.0,0.965034965034965,0.8400313971742543,0.8830019187162045,66.0,0.9547573638482729,0.8939393939393939,0.9149230399230399,66.0,0.97,0.9333333333333332,0.9393333333333334,66.0,0.4266,117.197,9.376,2.0
0.5,50%,4960,snowood1/ConfliBERT-scr-cased,ConfliBERT,0.11450112611055374,0.04,0.78,0.8571428571428571,0.8571428571428571,0.8571428571428571,14.0,1.0,0.9333333333333333,0.9655172413793104,15.0,0.9,0.9,0.9,10.0,1.0,0.6,0.75,5.0,0.8333333333333334,1.0,0.9090909090909091,5.0,0.9166666666666666,0.8461538461538461,0.88,13.0,1.0,0.75,0.8571428571428571,4.0,0.9193548387096774,0.8636363636363636,0.890625,66.0,0.9295918367346939,0.8409471480900051,0.8741276949651333,66.0,0.9255050505050504,0.8636363636363636,0.8885876453744793,66.0,0.93,0.8933333333333333,0.8993333333333333,66.0,0.4095,122.085,9.767,2.0
0.5,50%,4960,FacebookAI/roberta-base,RoBERTa,0.11114522814750671,0.02857142857142857,0.82,0.9230769230769231,0.8571428571428571,0.8888888888888888,14.0,1.0,0.9333333333333333,0.9655172413793104,15.0,1.0,1.0,1.0,10.0,1.0,0.6,0.75,5.0,0.8333333333333334,1.0,0.9090909090909091,5.0,0.9285714285714286,1.0,0.9629629629629629,13.0,1.0,0.5,0.6666666666666666,4.0,0.9516129032258065,0.8939393939393939,0.921875,66.0,0.9549973835688121,0.8414965986394558,0.8775895241412482,66.0,0.9569874569874569,0.8939393939393939,0.9152703453905126,66.0,0.96,0.9233333333333333,0.9293333333333333,66.0,0.408,122.537,9.803,2.0
0.5,50%,4960,distilbert-base-cased,DistilBERT,0.14267835021018982,0.03428571428571429,0.78,0.9166666666666666,0.7857142857142857,0.8461538461538461,14.0,1.0,1.0,1.0,15.0,1.0,0.9,0.9473684210526315,10.0,1.0,0.6,0.75,5.0,1.0,1.0,1.0,5.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0,1.0,0.25,0.4,4.0,0.9655172413793104,0.8484848484848485,0.9032258064516129,66.0,0.9771062271062271,0.7798273155416012,0.8380855986119145,66.0,0.9671717171717171,0.8484848484848485,0.8889369402527297,66.0,0.96,0.8933333333333333,0.9126666666666665,66.0,0.2586,193.366,15.469,2.0
0.5,50%,4960,xlnet-base-cased,XLNet,0.09296775609254837,0.03142857142857143,0.8,0.8571428571428571,0.8571428571428571,0.8571428571428571,14.0,1.0,0.9333333333333333,0.9655172413793104,15.0,1.0,1.0,1.0,10.0,1.0,0.6,0.75,5.0,0.8333333333333334,1.0,0.9090909090909091,5.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0,1.0,0.75,0.8571428571428571,4.0,0.9365079365079365,0.8939393939393939,0.9147286821705426,66.0,0.9447933019361592,0.8662218733647306,0.8945672554046938,66.0,0.9419191919191919,0.8939393939393939,0.912224009010843,66.0,0.9533333333333335,0.9233333333333333,0.9253333333333333,66.0,0.8331,60.015,4.801,2.0
0.5,50%,4960,google/electra-base-discriminator,ELECTRA,0.18952296674251556,0.04,0.76,0.9230769230769231,0.8571428571428571,0.8888888888888888,14.0,1.0,1.0,1.0,15.0,1.0,0.9,0.9473684210526315,10.0,1.0,0.6,0.75,5.0,1.0,1.0,1.0,5.0,0.9090909090909091,0.7692307692307693,0.8333333333333334,13.0,0.0,0.0,0.0,4.0,0.9642857142857143,0.8181818181818182,0.8852459016393442,66.0,0.8331668331668333,0.7323390894819467,0.7742272347535505,66.0,0.9051705869887687,0.8181818181818182,0.8560827573985469,66.0,0.93,0.8633333333333333,0.8826666666666665,66.0,0.4668,107.123,8.57,2.0
1.0,100%,9921,bert-base-cased,BERT,0.09895645827054977,0.03,0.86,0.8857142857142857,0.9393939393939394,0.9117647058823529,33.0,0.96,1.0,0.9795918367346939,24.0,0.7647058823529411,0.9285714285714286,0.8387096774193549,14.0,0.9,0.75,0.8181818181818182,12.0,1.0,1.0,1.0,8.0,0.9,0.8571428571428571,0.8780487804878049,21.0,1.0,1.0,1.0,3.0,0.8983050847457628,0.9217391304347826,0.9098712446351931,115.0,0.9157743097238896,0.9250154607297464,0.9180424026722893,115.0,0.9015169894044575,0.9217391304347826,0.9095441832004085,115.0,0.9,0.92,0.905,115.0,0.7742,129.162,9.041,2.0
1.0,100%,9921,snowood1/ConfliBERT-scr-cased,ConfliBERT,0.08429138362407684,0.027142857142857142,0.88,0.8888888888888888,0.9696969696969697,0.927536231884058,33.0,0.96,1.0,0.9795918367346939,24.0,0.7647058823529411,0.9285714285714286,0.8387096774193549,14.0,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0,1.0,1.0,1.0,8.0,0.9473684210526315,0.8571428571428571,0.9,21.0,0.75,1.0,0.8571428571428571,3.0,0.9,0.9391304347826087,0.9191489361702128,115.0,0.8885791573407672,0.9412492269635127,0.9103636886531811,115.0,0.9055047255432233,0.9391304347826087,0.9197134469374066,115.0,0.92,0.94,0.925,115.0,0.7629,131.075,9.175,2.0
1.0,100%,9921,FacebookAI/roberta-base,RoBERTa,0.08662965148687363,0.024285714285714285,0.88,0.8888888888888888,0.9696969696969697,0.927536231884058,33.0,0.96,1.0,0.9795918367346939,24.0,0.7647058823529411,0.9285714285714286,0.8387096774193549,14.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0,1.0,1.0,1.0,8.0,0.9473684210526315,0.8571428571428571,0.9,21.0,1.0,1.0,1.0,3.0,0.9083333333333333,0.9478260869565217,0.9276595744680851,115.0,0.925375694137304,0.9531539888682746,0.9375006303863963,115.0,0.9128169785076502,0.9478260869565217,0.9283550888493699,115.0,0.925,0.95,0.9316666666666668,115.0,0.7733,129.311,9.052,2.0
1.0,100%,9921,distilbert-base-cased,DistilBERT,0.08955566585063934,0.032857142857142856,0.84,0.90625,0.8787878787878788,0.8923076923076924,33.0,0.9583333333333334,0.9583333333333334,0.9583333333333334,24.0,0.75,0.8571428571428571,0.8,14.0,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0,1.0,1.0,1.0,8.0,0.9,0.8571428571428571,0.8780487804878049,21.0,1.0,1.0,1.0,3.0,0.9035087719298246,0.8956521739130435,0.8995633187772926,115.0,0.9176677489177489,0.9121057513914657,0.9140364319314479,115.0,0.9062203557312253,0.8956521739130435,0.9001735725660296,115.0,0.885,0.895,0.885,115.0,0.4377,228.489,15.994,2.0
1.0,100%,9921,xlnet-base-cased,XLNet,0.0815168097615242,0.027142857142857142,0.85,0.8823529411764706,0.9090909090909091,0.8955223880597015,33.0,0.9583333333333334,0.9583333333333334,0.9583333333333334,24.0,0.7777777777777778,1.0,0.875,14.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0,1.0,1.0,1.0,8.0,0.9473684210526315,0.8571428571428571,0.9,21.0,1.0,1.0,1.0,3.0,0.9067796610169492,0.9304347826086956,0.9184549356223176,115.0,0.9260713057152685,0.9487476808905378,0.9350746268656717,115.0,0.9121849807810233,0.9304347826086956,0.91914990266061,115.0,0.9,0.93,0.9083333333333334,115.0,1.6014,62.447,4.371,2.0
1.0,100%,9921,google/electra-base-discriminator,ELECTRA,0.10134036839008331,0.03571428571428571,0.82,0.8888888888888888,0.9696969696969697,0.927536231884058,33.0,0.9565217391304348,0.9166666666666666,0.9361702127659575,24.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,14.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0,1.0,1.0,1.0,8.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,21.0,1.0,0.6666666666666666,0.8,3.0,0.8879310344827587,0.8956521739130435,0.8917748917748918,115.0,0.9047865523020802,0.8630179344465059,0.8788288118207505,115.0,0.8894770006301197,0.8956521739130435,0.8911024413787556,115.0,0.895,0.905,0.8916666666666667,115.0,0.8779,113.912,7.974,2.0
