model,exact_match,fuzzy_match,micro_exact_precision,micro_exact_recall,micro_exact_f1,state_f1,district_f1,village_f1,other_locations_f1
gliner,3.931451612903226,4.334677419354839,65.30241018644838,50.12216404886563,56.71406003159558,22.948073701842542,93.98457583547557,59.081419624217126,21.096173733195446
confliBERT,39.818548387096776,41.431451612903224,77.61144377910844,81.45949720670392,79.48892674616697,95.59939301972685,94.0996948118006,69.62025316455696,33.069481090589264
deberta-v3,48.48790322580645,50.1008064516129,82.76944541332402,82.85614525139665,82.81277264002792,95.54655870445343,94.85481406011206,74.50495049504951,40.040650406504064
xlm-roberta,43.44758064516129,44.858870967741936,79.65760322255791,82.85614525139665,81.2253979120315,96.06060606060606,94.64558898521163,72.25000000000001,37.205081669691474
spanbert,45.564516129032256,47.07661290322581,81.18298166724317,81.94832402234637,81.56385751520418,95.45454545454544,94.56576942610461,72.29219143576826,36.36363636363636
muril,46.57258064516129,48.08467741935484,80.70839064649243,81.94832402234637,81.32363132363133,94.79008598887204,95.20897043832824,72.3404255319149,36.170212765957444
