model,mae,mae_p,mae_diff,mae_significant,mae_better,rmse,rmse_p,rmse_diff,rmse_significant,rmse_better,within_1,within_1_p,within_1_diff,within_1_significant,within_1_better,within_2,within_2_p,within_2_diff,within_2_significant,within_2_better,nonzero_mae,nonzero_mae_p,nonzero_mae_diff,nonzero_mae_significant,nonzero_mae_better
gpt4o_mini,0.11567844687172466,0.4782,-0.2546158482111386,FALSE,TRUE,1.0746766210906098,0.4384,-0.9215873688263472,FALSE,TRUE,0.9872221039275503,0.502,0.0408573781839896,FALSE,TRUE,0.9917956390837362,0.5018,0.018695043357280006,FALSE,TRUE,0.11937249865655906,0.46,-0.43740761169965303,FALSE,TRUE
llama3_8b,0.10058784822931212,0.4742,-0.2697064468535511,FALSE,TRUE,0.7608534744931286,0.3892,-1.2354105154238284,FALSE,TRUE,0.9859257375416277,0.504,0.039561011798067036,FALSE,TRUE,0.9906432654148047,0.502,0.0175426696883485,FALSE,TRUE,0.132234514859228,0.4676,-0.4245455954969841,FALSE,TRUE
mistral_7b,0.15355292294322895,0.481,-0.21674137213963426,FALSE,TRUE,1.1300875456887858,0.4302,-0.8661764442281712,FALSE,TRUE,0.9767260465893939,0.4976,0.030361320845833206,FALSE,TRUE,0.9836794657741116,0.4982,0.010578870047655342,FALSE,TRUE,0.16933507308465856,0.4652,-0.38744503727155355,FALSE,TRUE
mixtral_8x7b,0.13621208497608556,0.474,-0.23408221010677766,FALSE,TRUE,0.8960316833336194,0.3828,-1.1002323065833375,FALSE,TRUE,0.9778910403834598,0.501,0.03152631463989908,FALSE,TRUE,0.9836632516572829,0.4996,0.010562655930826614,FALSE,TRUE,0.18939694568831178,0.4748,-0.36738316466790033,FALSE,TRUE
gemini_flash,0.32408222702882744,0.7638,-0.04621206805403577,FALSE,TRUE,2.3386985709169696,0.826,0.34243458100001267,FALSE,FALSE,0.9721317607889042,0.4996,0.0257670350453435,FALSE,TRUE,0.9791354764164741,0.6136,0.006034880690017896,FALSE,TRUE,0.4509196556885018,0.6708,-0.10586045466771032,FALSE,TRUE
