model,mae,mae_p,mae_diff,mae_significant,mae_better,rmse,rmse_p,rmse_diff,rmse_significant,rmse_better,within_1,within_1_p,within_1_diff,within_1_significant,within_1_better,within_2,within_2_p,within_2_diff,within_2_significant,within_2_better,nonzero_mae,nonzero_mae_p,nonzero_mae_diff,nonzero_mae_significant,nonzero_mae_better
flan-t5-base,0.2714186263096624,0.1052,-0.0987792782305007,FALSE,TRUE,2.918793194645271,0.278,0.7123363770281022,FALSE,FALSE,0.976771362048894,0,0.030322002328288633,TRUE,TRUE,0.9860791618160651,0.002,0.012854481955762442,TRUE,TRUE,0.3871573691833335,0.082,-0.17025003822407286,FALSE,TRUE
flan-t5-large,0.15586239813736902,0,-0.21433550640279408,TRUE,TRUE,1.1450888529131378,0.0456,-1.061367964704031,TRUE,TRUE,0.9779015133876601,0,0.03145215366705467,TRUE,TRUE,0.9871711292200233,0,0.013946449359720559,TRUE,TRUE,0.20926470409412146,0,-0.3481427033132849,TRUE,TRUE
flan-t5-xl-lora,0.11615972060535505,0,-0.25403818393480804,TRUE,TRUE,0.8280015947493452,8e-4,-1.3784552228678235,TRUE,TRUE,0.9814137369033761,0,0.03496437718277068,TRUE,TRUE,0.9872002328288707,0.0016,0.013975552968568006,TRUE,TRUE,0.14818478239403549,0,-0.40922262501337087,TRUE,TRUE
indicbart,0.3344752037252619,0.6252,-0.0357227008149012,FALSE,TRUE,1.7093359118747604,0.6972,-0.4971209057424084,FALSE,TRUE,0.9488130384167637,0.7964,0.002363678696158278,FALSE,TRUE,0.9650619324796275,0.1856,-0.00816274738067524,FALSE,FALSE,0.4243690104141786,0.1152,-0.13303839699322773,FALSE,TRUE
mt5-base,0.2749743888242142,0.1084,-0.09522351571594889,FALSE,TRUE,1.587330547909549,0.5788,-0.6191262697076199,FALSE,TRUE,0.9626903376018626,0.0184,0.016240977881257224,TRUE,TRUE,0.9767189755529686,0.5208,0.0034942956926659052,FALSE,TRUE,0.29912481576236666,0,-0.2582825916450397,TRUE,TRUE
nt5-small,0.29197462165308496,0.1348,-0.07822328288707814,FALSE,TRUE,2.8138373894878193,0.3796,0.6073805718706504,FALSE,FALSE,0.973241210710128,0,0.026791850989522636,TRUE,TRUE,0.9837564610011641,0.0292,0.010531781140861396,TRUE,TRUE,0.38538840257710233,0.0428,-0.17201900483030402,TRUE,TRUE
