fraction_raw,fraction_label,subset_size,model_raw,model_label,eval_loss,eval_accuracy,eval_f1_macro,eval_f1_weighted,eval_class_report,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,train_support_Maoist,train_support_Security,train_support_Unknown
0.0625,6%,495,xlnet-base-cased,XLNet,0.6375437378883362,0.8397177419354839,0.573339134499455,0.8199109264042298,"{""Maoist"": {""precision"": 0.8010033444816054, ""recall"": 0.9229287090558767, ""f1-score"": 0.8576544315129812, ""support"": 519.0}, ""Security"": {""precision"": 0.8984771573604061, ""recall"": 0.8290398126463701, ""f1-score"": 0.8623629719853837, ""support"": 427.0}, ""Unknown"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 46.0}, ""accuracy"": 0.8397177419354839, ""macro avg"": {""precision"": 0.5664935006140038, ""recall"": 0.5839895072340823, ""f1-score"": 0.573339134499455, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.8058170181238372, ""recall"": 0.8397177419354839, ""f1-score"": 0.8199109264042298, ""support"": 992.0}}",2.8271,350.886,10.965,2.0,286,186,23
0.0625,6%,495,google/electra-base-discriminator,ELECTRA,0.6177162528038025,0.8578629032258065,0.5857517375929765,0.8376317637797908,"{""Maoist"": {""precision"": 0.821247892074199, ""recall"": 0.9383429672447013, ""f1-score"": 0.8758992805755396, ""support"": 519.0}, ""Security"": {""precision"": 0.9122807017543859, ""recall"": 0.8524590163934426, ""f1-score"": 0.8813559322033898, ""support"": 427.0}, ""Unknown"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 46.0}, ""accuracy"": 0.8578629032258065, ""macro avg"": {""precision"": 0.5778428646095283, ""recall"": 0.596933994546048, ""f1-score"": 0.5857517375929765, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.8223503181810807, ""recall"": 0.8578629032258065, ""f1-score"": 0.8376317637797908, ""support"": 992.0}}",2.0693,479.38,14.981,2.0,286,186,23
0.125,12%,991,bert-base-cased,BERT,0.3566071093082428,0.8971774193548387,0.6134753310100503,0.8763103379317074,"{""Maoist"": {""precision"": 0.8613518197573656, ""recall"": 0.9576107899807321, ""f1-score"": 0.906934306569343, ""support"": 519.0}, ""Security"": {""precision"": 0.946987951807229, ""recall"": 0.9203747072599532, ""f1-score"": 0.9334916864608076, ""support"": 427.0}, ""Unknown"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 46.0}, ""accuracy"": 0.8971774193548387, ""macro avg"": {""precision"": 0.6027799238548649, ""recall"": 0.6259951657468951, ""f1-score"": 0.6134753310100503, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.8582716228586286, ""recall"": 0.8971774193548387, ""f1-score"": 0.8763103379317074, ""support"": 992.0}}",1.9854,499.643,15.614,2.0,549,399,43
0.125,12%,991,snowood1/ConfliBERT-scr-cased,ConfliBERT,0.17016731202602386,0.9435483870967742,0.8999989841906201,0.9433563008198236,"{""Maoist"": {""precision"": 0.9417293233082706, ""recall"": 0.9653179190751445, ""f1-score"": 0.9533777354900095, ""support"": 519.0}, ""Security"": {""precision"": 0.9591346153846154, ""recall"": 0.9344262295081968, ""f1-score"": 0.9466192170818505, ""support"": 427.0}, ""Unknown"": {""precision"": 0.8181818181818182, ""recall"": 0.782608695652174, ""f1-score"": 0.8, ""support"": 46.0}, ""accuracy"": 0.9435483870967742, ""macro avg"": {""precision"": 0.9063485856249014, ""recall"": 0.8941176147451717, ""f1-score"": 0.8999989841906201, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.943492301615511, ""recall"": 0.9435483870967742, ""f1-score"": 0.9433563008198236, ""support"": 992.0}}",1.9573,506.826,15.838,2.0,549,399,43
0.125,12%,991,FacebookAI/roberta-base,RoBERTa,0.24088090658187866,0.9294354838709677,0.8005901271003233,0.925124217237499,"{""Maoist"": {""precision"": 0.9779116465863453, ""recall"": 0.9383429672447013, ""f1-score"": 0.9577187807276303, ""support"": 519.0}, ""Security"": {""precision"": 0.8872340425531915, ""recall"": 0.9765807962529274, ""f1-score"": 0.9297658862876255, ""support"": 427.0}, ""Unknown"": {""precision"": 0.75, ""recall"": 0.391304347826087, ""f1-score"": 0.5142857142857142, ""support"": 46.0}, ""accuracy"": 0.9294354838709677, ""macro avg"": {""precision"": 0.8717152297131788, ""recall"": 0.7687427037745719, ""f1-score"": 0.8005901271003233, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.9283115733352076, ""recall"": 0.9294354838709677, ""f1-score"": 0.925124217237499, ""support"": 992.0}}",1.9316,513.56,16.049,2.0,549,399,43
0.125,12%,991,distilbert-base-cased,DistilBERT,0.2087971270084381,0.9092741935483871,0.6351671627241994,0.8893033449076772,"{""Maoist"": {""precision"": 0.8875, ""recall"": 0.9576107899807321, ""f1-score"": 0.9212233549582948, ""support"": 519.0}, ""Security"": {""precision"": 0.9373549883990719, ""recall"": 0.9461358313817331, ""f1-score"": 0.9417249417249417, ""support"": 427.0}, ""Unknown"": {""precision"": 1.0, ""recall"": 0.021739130434782608, ""f1-score"": 0.0425531914893617, ""support"": 46.0}, ""accuracy"": 0.9092741935483871, ""macro avg"": {""precision"": 0.9416183294663574, ""recall"": 0.6418285839324159, ""f1-score"": 0.6351671627241994, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.9141764919822617, ""recall"": 0.9092741935483871, ""f1-score"": 0.8893033449076772, ""support"": 992.0}}",1.2442,797.314,24.916,2.0,549,399,43
0.125,12%,991,xlnet-base-cased,XLNet,0.19326674938201904,0.9314516129032258,0.8422044228761724,0.9292710563939535,"{""Maoist"": {""precision"": 0.9328358208955224, ""recall"": 0.9633911368015414, ""f1-score"": 0.9478672985781991, ""support"": 519.0}, ""Security"": {""precision"": 0.9410377358490566, ""recall"": 0.9344262295081968, ""f1-score"": 0.9377203290246768, ""support"": 427.0}, ""Unknown"": {""precision"": 0.78125, ""recall"": 0.5434782608695652, ""f1-score"": 0.6410256410256411, ""support"": 46.0}, ""accuracy"": 0.9314516129032258, ""macro avg"": {""precision"": 0.8850411855815263, ""recall"": 0.8137652090597678, ""f1-score"": 0.8422044228761724, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.9293371010608098, ""recall"": 0.9314516129032258, ""f1-score"": 0.9292710563939535, ""support"": 992.0}}",2.8449,348.698,10.897,2.0,549,399,43
0.125,12%,991,google/electra-base-discriminator,ELECTRA,0.23692943155765533,0.9173387096774194,0.6265726793285306,0.895625501756286,"{""Maoist"": {""precision"": 0.9041591320072333, ""recall"": 0.9633911368015414, ""f1-score"": 0.9328358208955224, ""support"": 519.0}, ""Security"": {""precision"": 0.9339407744874715, ""recall"": 0.9601873536299765, ""f1-score"": 0.9468822170900693, ""support"": 427.0}, ""Unknown"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 46.0}, ""accuracy"": 0.9173387096774194, ""macro avg"": {""precision"": 0.6126999688315683, ""recall"": 0.6411928301438393, ""f1-score"": 0.6265726793285306, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.8750517139293391, ""recall"": 0.9173387096774194, ""f1-score"": 0.895625501756286, ""support"": 992.0}}",2.0644,480.525,15.016,2.0,549,399,43
0.25,25%,1982,bert-base-cased,BERT,0.17489510774612427,0.9435483870967742,0.8914587072390407,0.9439708748669864,"{""Maoist"": {""precision"": 0.968503937007874, ""recall"": 0.9479768786127167, ""f1-score"": 0.9581304771178188, ""support"": 519.0}, ""Security"": {""precision"": 0.9377880184331797, ""recall"": 0.9531615925058547, ""f1-score"": 0.9454123112659698, ""support"": 427.0}, ""Unknown"": {""precision"": 0.74, ""recall"": 0.8043478260869565, ""f1-score"": 0.7708333333333334, ""support"": 46.0}, ""accuracy"": 0.9435483870967742, ""macro avg"": {""precision"": 0.8820973184803513, ""recall"": 0.9018287657351761, ""f1-score"": 0.8914587072390407, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.944686519332716, ""recall"": 0.9435483870967742, ""f1-score"": 0.9439708748669864, ""support"": 992.0}}",1.9541,507.656,15.864,2.0,1063,827,92
0.25,25%,1982,snowood1/ConfliBERT-scr-cased,ConfliBERT,0.1507931649684906,0.9536290322580645,0.9150865003990155,0.9536424375677013,"{""Maoist"": {""precision"": 0.9669260700389105, ""recall"": 0.9576107899807321, ""f1-score"": 0.9622458857696031, ""support"": 519.0}, ""Security"": {""precision"": 0.9513888888888888, ""recall"": 0.9625292740046838, ""f1-score"": 0.9569266589057043, ""support"": 427.0}, ""Unknown"": {""precision"": 0.8260869565217391, ""recall"": 0.8260869565217391, ""f1-score"": 0.8260869565217391, ""support"": 46.0}, ""accuracy"": 0.9536290322580645, ""macro avg"": {""precision"": 0.9148006384831796, ""recall"": 0.9154090068357185, ""f1-score"": 0.9150865003990155, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.9537073446630545, ""recall"": 0.9536290322580645, ""f1-score"": 0.9536424375677013, ""support"": 992.0}}",1.9418,510.86,15.964,2.0,1063,827,92
