Model,Exact Match,Exact Core,Fuzzy Match,Fuzzy Core,Micro Exact F1,Micro Fuzzy F1,N
llama3_8b,4.040404040404041,17.77777777777778,4.444444444444445,18.787878787878785,54.39453124999999,55.794270833333336,990
mistral_7b,1.7154389505549947,27.346115035317858,6.760847628657922,28.456104944500503,59.569038843209526,63.283243549759,991
mixtral_8x7b,14.58966565349544,39.51367781155015,18.237082066869302,41.03343465045592,70.19631171921476,72.21891731112433,987
flan_t5_xl,0.0,0.0,0.0,0.0,0.0,0.0,991
gpt4o_mini,32.21884498480243,67.57852077001013,35.05572441742654,69.80749746707193,76.05061709107953,77.51913763474458,987
