model,micro_f1,exact_match,exact_core_match,micro_f1_p,exact_match_p,exact_core_match_p,baseline_micro_f1,baseline_exact_match,baseline_exact_core_match,micro_f1_diff,exact_match_diff,exact_core_match_diff,micro_f1_significant,exact_match_significant,exact_core_match_significant,micro_f1_better,exact_match_better,exact_core_match_better
gpt4o_mini,72.2034760448522,25.369582059123342,60.26841997961264,0,0,0,54.098778004073324,3.971486761710794,8.04480651731161,18.10469804077887,21.39809529741255,52.22361346230103,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
llama3_8b,62.145875763747455,9.570529531568228,38.3937067209776,0,0,0,54.098778004073324,3.971486761710794,8.04480651731161,8.04709775967413,5.599042769857434,30.348900203665988,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
mistral_7b,55.73438391038697,3.8735437881873724,36.564052953156825,0.0608,0.9388,0,54.098778004073324,3.971486761710794,8.04480651731161,1.6356059063136428,-0.09794297352342163,28.519246435845215,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
mixtral_8x7b,60.65395621181263,9.910875763747454,31.59338085539715,0,0,0,54.098778004073324,3.971486761710794,8.04480651731161,6.555178207739303,5.939389002036659,23.54857433808554,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
