model,micro_f1,exact_match,exact_core_match,micro_f1_p,exact_match_p,exact_core_match_p,baseline_micro_f1,baseline_exact_match,baseline_exact_core_match,micro_f1_diff,exact_match_diff,exact_core_match_diff,micro_f1_significant,exact_match_significant,exact_core_match_significant,micro_f1_better,exact_match_better,exact_core_match_better
deberta-v3,82.95247454175153,48.61173116089613,75.58293279022404,0,0,0,54.098778004073324,3.971486761710794,8.04480651731161,28.853696537678204,44.640244399185335,67.53812627291242,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
muril,81.71893985728848,46.76717635066259,74.50797145769623,0,0,0,54.098778004073324,3.971486761710794,8.04480651731161,27.62016185321515,42.795689588951795,66.46316494038462,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
spanbert,81.80323828920571,45.67136456211813,74.51386965376783,0,0,0,54.098778004073324,3.971486761710794,8.04480651731161,27.704460285132384,41.699877800407336,66.46906313645621,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
xlm-roberta,81.36736252545825,43.58431771894094,74.1586150712831,0,0,0,54.098778004073324,3.971486761710794,8.04480651731161,27.268584521384923,39.612830957230145,66.11380855397148,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
