model,micro_f1,exact_match,exact_core_match,micro_f1_p,exact_match_p,exact_core_match_p,baseline_micro_f1,baseline_exact_match,baseline_exact_core_match,micro_f1_diff,exact_match_diff,exact_core_match_diff,micro_f1_significant,exact_match_significant,exact_core_match_significant,micro_f1_better,exact_match_better,exact_core_match_better
flan-t5-base,83.2263900203666,48.67209775967413,76.08737270875764,0,0,0,54.098778004073324,3.971486761710794,8.04480651731161,29.12761201629327,44.70061099796334,68.04256619144603,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
flan-t5-large,83.75786150712831,48.98649694501018,79.03126272912424,0,0,0,54.098778004073324,3.971486761710794,8.04480651731161,29.659083503054987,45.01501018329939,70.98645621181262,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
flan-t5-xl-lora,83.35746945010183,48.496496945010186,77.5913849287169,0,0,0,54.098778004073324,3.971486761710794,8.04480651731161,29.258691446028507,44.52501018329939,69.54657841140529,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
indicbart,79.611766802444,40.96537678207739,70.1420366598778,0,0,0,54.098778004073324,3.971486761710794,8.04480651731161,25.51298879837067,36.9938900203666,62.09723014256619,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
mt5-base,82.33355397148677,47.45604887983707,75.17397148676172,0,0,0,54.098778004073324,3.971486761710794,8.04480651731161,28.23477596741344,43.48456211812628,67.1291649694501,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
