Model,mae,rmse,mdae,exact_match,within_1,within_2,nonzero_mae,extraction_rate
nt5-small,0.29336437718277064,3.1069414192317555,0.0,0.9313154831199069,0.9732246798603027,0.9837019790454016,0.387037037037037,1.0
indicbart,0.3341094295692666,1.7327227962682894,0.0,0.8917345750873108,0.9487776484284052,0.9650756693830035,0.42407407407407405,1.0
conflibert-poisson,0.370197904540163,2.2064568176171755,0.0,0.8626309662398137,0.9464493597206054,0.9732246798603027,0.5574074074074075,1.0
mt5-base,0.27473806752037255,1.614832298641484,0.0,0.9091967403958091,0.9627473806752037,0.9767171129220024,0.29814814814814816,1.0
flan-t5-base,0.2724097788125728,3.20723861149422,0.0,0.9452852153667055,0.9767171129220024,0.9860302677532014,0.3888888888888889,1.0
flan-t5-large,0.1559953434225844,1.1750213630931405,0.0,0.9499417927823051,0.9778812572759022,0.9871944121071012,0.20925925925925926,1.0
flan-t5-xl-lora,0.11641443538998836,0.8454493676705475,0.0,0.959254947613504,0.9813736903376019,0.9871944121071012,0.14814814814814814,1.0
