incident_number,state,district,block,village_name,other_areas,constituency,incident_summary,Matched_Location,latitude,longitude
101130701,Andhra Pradesh,Nalgonda,Gurrampodu,Yelamanagudem,,Nagarjuna Sagar,"The Nalgonda District Police killed four CPI-Maoist cadres in an encounter on the outskirts of Yelamanagudem village in Gurrampodu mandal (administrative division). Unconfirmed sources said that a senior second rung leader, Betharaju Narasimha alias Mukku Ravi alias Janardhan, was among those killed. Superintendent of Police Vijay Kumar said that two to four Maoists might have managed to escape.","nalgonda, gurrampodu, yelamanagudem",79.11508333333333,16.868222222222222
101131201,Andhra Pradesh,Hyderabad,Shankarpalle,Ramanthapur,,Chevella,"A former Maoist female cadre, Veeramalla Pushpa (35), was found dead at her residence in Ramanthapur in Hyderabad under the Uppal Police limits.","hyderabad, ramanthapur",78.52872222222223,17.385305555555554
101131501,Andhra Pradesh,Visakhapatnam,Chintapalli,,Chintapalli mandal,Paderu,"An active member of the Galikonda 'area committee' of the CPI-Maoist, identified as Pangi Bhaskara Rao, was arrested at Chintapalli mandal","chintapalli, chintapalli mandal",82.08844444444443,16.91397222222222
101150801,Andhra Pradesh,Warangal,,Govindraopet,,Mulug,"A Maoist couple was killed in an exchange of fire with the Police in a forest area in the Govindraopet sub-division of Warangal District. The slain extremists were identified as Satayya alias Suresh Anna, Secretary of Warangal, Karimnagar and Khammam District units of the CPI-ML Praja Pratighatna group, and his wife Rani, who was a commander of the party's armed squad. The Police recovered a spring loading rifle, a pistol and two kit bags from them.","warangal, govindraopet",80.12905555555555,18.198555555555554
101150901,Andhra Pradesh,Prakasam,,Mullampalli,Pullalacheruvu,Yerragondapalem,"A senior cadre and District committee secretary of the CPI-Maoist, identified as Karamthota Govinda Naik alias Sanjeevi alias Raju, was killed in an encounter at Mullampalli village of Pullalacheruvu mandal in the Prakasam District. However, four other Maoists managed to escape.","prakasam, mullampalli, pullalacheruvu",80.01811111111111,15.635583333333333
101151401,Andhra Pradesh,Khammam,Dummugudem,near Kommanapalli village,Dummugudem mandal,Bhadrachalam,"A 35-year-old man, believed to be a SPO of Chhattisgarh Police, was stabbed to death by suspected militia members of the CPI-Moist during a cockfighting event near Kommanapalli village in Dummugudem mandal in Khammam District of Andhra Pradesh.","andhra pradesh, khammam, dummugudem, near kommanapalli village, dummugudem mandal",80.88636111111111,17.85263888888889
101160502,Andhra Pradesh,Karimnagar,Gambhiraopet,Srigadha,,Sircilla,"Naxalites also kill a former Naxalite, Narsimhlu, at Srigadha village in the Karimnagar District.","karimnagar, srigadha",78.56808333333333,18.236222222222224
101160701,Andhra Pradesh,Khammam,,,Bhadrachalam,Bhadrachalam,"Two CPI-Maoist cadres, ‘central technical committee’ member Ivvi Mohan Reddy alias Umesh alias Mahesh alias Prakash and Jade Venkati alias Suresh alias Manganna, were arrested by the Police from Bhadrachalam in the Khammam District.","khammam, bhadrachalam, bhadrachalam",80.89686111111112,17.668055555555558
101161301,Andhra Pradesh,Adilabad,Mandamarri,Mamidigattu forests,Ramakrishnapur Police Station,Chennur,"Bellampally Police in Adilabad District of Andhra Pradesh found an old CPI-Maoist dump in Mamidigattu forests, under Ramakrishnapur Police Station limits while conducting combing operations.","andhra pradesh, adilabad, mamidigattu forests, ramakrishnapur police station",79.47813888888889,18.987000000000002
101170801,Andhra Pradesh,Khammam,Vararamachandrapuram,Buruguvada,Vararamachandrapuram,Bhadrachalam,"Two CPI-Maoist cadres were killed in an encounter with the Police in Buruguvada village of Vararamachandrapuram sub-division in Khammam District. The deceased extremists were identified as Aithu alias Bhagat, 25, and Madakam Kosa, 26. They were suspected to be the commander and deputy commander, respectively, of the Bhadrachalam local organisational squad.","khammam, vararamachandrapuram, buruguvada, vararamachandrapuram, bhadrachalam",81.36908333333332,17.567
