incident_number,state,district,block,village_name,other_areas,constituency,incident_summary,Matched_Location,latitude,longitude
306051202,Chhattisgarh,Dantewada,,,,,"Maoists are observing a ""protest week"" to stop training given to Army in the Bastar region, and have also announced a bandh (shutdown strike) in Dandkaranya region on June 7. The Maoists felled trees and dug up roads as part of their ongoing protests in Dantewada District, the Police said.",dantewada,,
306051301,Chhattisgarh,Rajnandgaon,,,,,"Police managed to thwart an attack by CPI-Maoist in Rajnandgaon District, which ended with the fleeing of Maoists leaving behind weapons and other supplies.",rajnandgaon,,
306051503,Chhattisgarh,Dantewada,,Palnar,Kuwakonda Police Station,Dantewada assembly constituency,"A jewellery trader, identified as Manoj Soni, was seriously injured when the CPI-Maoist cadres attacked him at Palnar village under Kuwakonda Police Station limits in Dantewada District. The incident occurred on the first day of the 'Jan Pituri Saptah' (5-11 June) observed by the Maoists in memory of their lost cadres.","dantewada, palnar, kuwakonda police station",81.346817,18.604963
306051601,Chhattisgarh,Kanker,,Mura,,Bhanupratappur,A village sarpanch was killed by suspected CPI-Maoist cadres in Kanker District. Kunwar Singh Gota (40) sarpanch of Mura village under Korar Police Station limits was allegedly shot dead at his native place.\,"kanker, mura",81.0729,20.3107
306060901,Chhattisgarh,Narayanpur,,Benur,,Narayanpur,"CPI-Maoist cadres, in the guise of locals, attacked the villagers who had gathered at the weekly market in Benur in Naryanpur District and killed Sub-Inspector J. L. Lakhda deployed there. A group of 12 Maoists killed a Special Police Officer, identified as Rajman, in Madpnar village in the same District by slitting his throat.","naryanpur, benur, naryanpur",81.4277,19.663
306061001,Chhattisgarh,Bijapur,,,,,Around 50 suspected cadres of the CPI-Maoist set ablaze a forest rest house in the Mader range in Bijapur District.,bijapur,,
306061201,Chhattisgarh,Narayanpur,,,Kosnar forest,Bijapur,"CPI-Maoist cadres fired on a CRPF base in Kosnar forest, triggering an exchange of fire with the Security Force personnel in Narayanpur District. However, no causalities were reported.","narayanpur, kosnar forest",,
306061301,Chhattisgarh,Bastar,,Farasgaon,,Keshkal assembly constituency,"On the second day of the Jan Pituri (Revolutionary Week) observed by the CPI-Maoist, they set ablaze a godown of Forest Department at Farasgaon leading to loss of millions besides causing panic in the area.",farasgaon,81.597336,20.021786
306061302,Chhattisgarh,Kondagaon,,,,,Two Maoist cadres were arrested in separate incidents in Kondagaon District.,kondagaon,,
306061401,Chhattisgarh,Bijapur,,,,,A group of Police personnel had a narrow escape as CPI-Maoist triggered two landmine blasts in Bijapur District.,bijapur,,
306061501,Chhattisgarh,Kondagaon,,Timdi,,Keshkal assembly constituency,"At least two cadres of the CPI-Maoist were killed in an encounter in Kondagaon District. A Maoist camp was also neutralised during the encounter and three 12-bore rifles, around 15 backpacks and other material were recovered from the spot, said IG of Police, Bastar Range, S.R. Kalluri. “An encounter took place between a team of the District Reserve Guard of the Kondagaon District Police and the Maoists near Timdi village of Kondagaon this evening...”, added S.R. Kalluri.","kondagaon, timdi",81.597336,20.021786
306061502,Chhattisgarh,Kondagaon,,Timdi,,Keshkal assembly constituency,"At least two cadres of the CPI-Maoist were killed in an encounter in Kondagaon District. A Maoist camp was also neutralised during the encounter and three 12-bore rifles, around 15 backpacks and other material were recovered from the spot, said IG of Police, Bastar Range, S.R. Kalluri. “An encounter took place between a team of the District Reserve Guard of the Kondagaon District Police and the Maoists near Timdi village of Kondagaon this evening...”, added S.R. Kalluri.","kondagaon, timdi",81.597336,20.021786
306061503,Chhattisgarh,Sukma,,Palamdagu,Dornapal Police Station,Konta assembly constituency,A STF personnel of Chhattisgarh Police was injured in an encounter with CPI-Maoist cadres in a forest near Palamdagu under Dornapal Police Station limits in Sukma District.,"chhattisgarh, sukma, palamdagu, dornapal police station",81.5087,18.1548
306061504,Chhattisgarh,Kondagaon,,,,,"A senior Maoist cadre, identified as Fulsingh Korram (32), carrying a reward of INR 800,000 on his head and a woman Maoist cadre, Ramoli Netam (25), surrendered before Kondagaon Police.",kondagaon,,
306061601,Chhattisgarh,Kondagaon,,,Ranapal,Narayanpur,"CPI-Maoist cadres fired rockets and opened heavy gunfire at a camp of ITBP in Kondagaon District. Officials said the attack was launched at the company base of the 41st battalion of the ITBP in Ranapal area after a large number of Maoists surrounded it from three sides. ""The attack was launched at about 1240 hours and ended at 3 am today. Four rockets were fired inside the camp. Both the sides exchanged about 600 rounds of bullets,"" they said. Maoists later retreated in the jungles and no casualties were reported on the forces' side. ""It is estimated that about 100 armed Naxals launched the attack,"" they said.","kondagaon, ranapal",81.5386,19.3685
306070901,Chhattisgarh,Kanker,,Padbeda,,Antagarh,"Around a dozen armed cadres of the CPI-Maoist picked up two brothers, identified as Sundru and Mangauram, from Padbeda village in Kanker District in the night of June 7 and beat them to death suspecting them to be Police informers. The Police recovered their dead bodies in the night of June 8.","kanker, padbeda",81.187,19.952028275
306071001,Chhattisgarh,Kanker,,Traoki,,Antagarh,Three cadres of the CPI-Maoist were arrested by Police in Traoki village of Kanker District.,"kanker, traoki",80.6253,20.0369
306071401,Chhattisgarh,Kondagaon,,,,,"Eight CPI-Maoist cadres, including a 'commander' surrendered in Kondagaon District.",kondagaon,,
306071402,Chhattisgarh,Kanker,,,,,"Suspected CPI-Maoist cadres set ablaze three vehicles at Paralkot village number 85 in Kanker District on Chhattisgarh-Maharashtra border. The vehicles set on fire include a tanker, JCB machine and a road roller. SP RN Dash said that although there were no inputs about presence of Maoists in the region, locals claim that nearly 50-60 Maoists were present at the spot when the incident took place.","chhattisgarh, kanker",,
306080601,Chhattisgarh,Dantewada,,,Dewapalli,Konta,"Ten Maoists were killed and five, including two women cadres, were arrested in the Dewapalli area of Dantewada District.","dantewada, dewapalli",81.5087,18.1548
306080602,Chhattisgarh,Balrampur,Kusmi,Jalbotha,,Samri,"In the Chando Police station area of Balrampur Police District, on information of the movement of a large group of armed Maoists, Police cordoned off an area near Jalbotha village and asked them to surrender. The subsequent encounter led to the killing of nine Maoists.","balrampur, jalbotha",83.9347,23.4087
306080801,Chhattisgarh,Durg,Dallirajehra,,Mahamaya,Dondi Lohara,"Three Central Industrial Security Force (CISF) personnel, including a sub-inspector, were killed and two others injured in an attack by the CPI-Maoist cadres in the Durg District. Police sources said that a group of Maoists blew up a jeep of CISF personnel using an IED near Mahamaya mines area under Dallirajehra Police station of the District, leading to the killings and the injuries. The Maoists were reported to have decamped with the arms of the killed and injured personnel.","durg, dallirajehra, mahamaya",81.0711,20.5815
306080901,Chhattisgarh,Narayanpur,,Dhanora,,Narayanpur assembly constituency,Constable Santosh Verma was killed early in the morning when Maoists opened indiscriminate fire at the CAF camp at Dhanora in Narayanpur District.,"narayanpur, dhanora",81.352318,19.652161
306080902,Chhattisgarh,Bijapur,,Pavnar,,Bijapur assembly constituency,"CRPF Assistant Commander P Singh, two head constables and three Special Police Officers were injured when Maoists ambushed a CRPF party at Pavnar village in Bijapur District at around 10 am, leading to an encounter between the two sides.","bijapur, pavnar",80.837227,18.524351
306081001,Chhattisgarh,Bijapur,,,Tunggi Nallah,Bijapur assembly constituency,A special squad of the CRPF recovered a 10-kilogram Improvised Explosive Device (IED) from near Tunggi Nallah area of Bijapur District.,"bijapur, tunggi nallah",80.837227,18.524351
306081201,Chhattisgarh,Kondagaon,,Masuri,,Kondagaon,"The CPI-Maoist cadres killed a labourer, identified as Ramesh Markam of Masuri village, while he was erecting the boundary of a CRPF camp at Golaband post in Kondagaon District. The Maoists mistook him as a Policeman.","kondagaon, masuri, kondagaon",81.6638,19.5959
306081202,Chhattisgarh,Sukma,,Ramaram,,Konta assembly constituency,"The Maoists triggered a powerful blast on a key highway between Ramaram village and Borguda, six kilometres from Sukma District headquarters. The explosion took place just a few hours ahead of the weekly market held at Ramaram, the Police said. No loss of life or property was reported in the incident.","sukma, ramaram",81.413078,17.945263
306081301,Chhattisgarh,Rajnandgaon,,,Bukmarka Pahadi,Mohla-Manpur,"Security Forces killed a CPI-Maoist 'commander', at the forests of Bukmarka Pahadi area under Manpur Police Station in Rajnandgaon District.","rajnandgaon, bukmarka pahadi",80.6167,20.4501
306081401,Chhattisgarh,Kondagaon,,,Mardapal,Kondagaon assembly constituency,"A CPI-Maoist 'deputy commander', identified as Mandu alias Malesh, a member of the Hadeli Janmilitia group, was arrested from the forest of Mardapal Police Station limits in Kondagaon District of Chhattisgarh.","chhattisgarh, kondagaon, mardapal",81.71521,19.54244
306081501,Chhattisgarh,Sukma,,Polamapalli,,Konta,"CPI-Maoist cadres killed a villager, identified as Sodi Chandra Singh, on suspicion of being a 'Police informer' in Sukma District. Singh's body was found near Polamapalli.","sukma, polamapalli",80.9273,18.3074
306081502,Chhattisgarh,Kanker,,Iragaon,Bhanupratappur region,Bhanupratappur,"A woman CPI-Maoist cadre, identified as Fuleshwari Pudo alias Mayawati (27), carrying a reward of INR 100,000 on her head, was arrested by a joint team of SFs from Iragaon village under Bhanupratappur region in Kanker District. She was a cadre of Pallemari Local Operation Squad.","kanker, iragaon, bhanupratappur region, bhanupratappur",81.2088,20.262231827
306090701,Chhattisgarh,Dantewada,,,Bailadila hills,Dantewada,Two CRPF personnel were injured when CPI-Maoist cadres detonated two pressure bombs in the Bailadila hills of Dantewada District.,"dantewada, bailadila hills, dantewada",81.2559,18.6334
306090702,Chhattisgarh,Bastar,,,Dhanora Police station,Keshkal assembly constituency,"Separately, a civilian, identified as Vikram Raut, was injured in a pressure bomb explosion, triggered by CPI-Maoist cadres, under Dhanora Police station in the Bastar District.","bastar, dhanora police station",81.597336,20.021786
306090801,Chhattisgarh,Dantewada,,Bacheli,,Dantewada,"CPI-Maoist cadres set 22 tipper trucks of Essar Steel plant and removed a stretch of the Kirandole rail line in the Dantewada District, resulting in the derailment of two engines. A group of 200 armed Maoists stormed the industrial pocket at Bacheli village near Kirandole and burnt the trucks meant for transporting iron-ore. The attack continued till late in the night and the loss was said to be quite extensive. Maoists were observing an anti-oppression week in response to the call given by the Dandakaranya special zonal committee and the Orissa-Chhattisgarh border zonal committee of the outfit to protest against the Salwa Judum. The Maoists reportedly had been holding meetings since a week and distributing pamphlets and publicity material in the forest villages on the Konta-Dantewada highway urging the local people to support their cause.","chhattisgarh, dantewada, bacheli, dantewada",81.2684,18.6695
306090901,Chhattisgarh,Bijapur,,,Bijapur valley,Bijapur assembly constituency,"Nine CRPF personnel were injured in a landmine explosion triggered by the Maoists in Bijapur District. The incident took place when the Maoists blew up a Police vehicle carrying the CRPF personnel near Bijapur valley, 450 kilometres from the State capital Bijapur, the District Superintendent of Police Ankit Garg said.","bijapur, bijapur valley",80.91819,18.810951
306091101,Chhattisgarh,Narayanpur,,Bharaghati,,Narayanpur,"The CPI-Maoist cadres opened indiscriminate fire near the camp of Chhattisgarh Armed Force in Narayanpur District, killing four troopers and leaving another injured. Some troopers of the force were involved in their regular chores near the camp of the 16th battalion of the Force in Bharaghati village when the Maoists started firing at them killing four troopers and leaving another injured, Ram Niwas, ADG anti-Maoist operations said. The Maoists also decamped with two weapons of the troopers, the senior officer said.","chhattisgarh, narayanpur, bharaghati, narayanpur",81.2472,19.7196
306091301,Chhattisgarh,Kondagaon,,Mulnar,,Kondagaon assembly constituency,"Guddu Muriya, 25-year-old member of Usri Jan-militia of CPI-Maoist, was arrested in Mulnar village in Mardapal Police Station area of Kodagaon District.","kodagaon, mulnar",81.71521,19.54244
306100701,Chhattisgarh,Narayanpur,,,Akkabeda forest,Narayanpur assembly constituency,One Police personnel was killed in an encounter with cadres of the CPI-Maoist in the Akkabeda forest of Narayanpur District The incident occurred when the Maoists challenged a Police party which was on a combing operation in the area. Police recovered one .303 rifle from the incident site.,"narayanpur, akkabeda forest",81.119583,19.40888
306100702,Chhattisgarh,Dantewada,,,,,"The CPI-Maoist cadres attacked the National Mineral Development Corporation premises in the Dantewada District. ""A large number of Naxalites attacked the Bacheli premises of the NMDC and burnt over 100 meters of a conveyor belt,'' a Police official told.",dantewada,,
306100703,Chhattisgarh,Kanker,,Bande,,Antagarh,"Cadres of the CPI-Maoist set ablaze a Bamboo depot at Bande in the Kanker District, leading to a loss of INR 40 million. They also left behind a pamphlet giving instructions to the common people to oppose Salwa Judum.","kanker, bande",81.556801,18.421059
306100704,Chhattisgarh,Dantewada,,Kirandul,,Dantewada assembly constituency,"CPI-Maoist cadres set ablaze two Pokland machines, worth INR 10 million each, of Essar Company, near Kirandul in the Dantewada District. One machine was totally destroyed while other was partially damaged.","dantewada, kirandul",81.2573,18.633644104
306100901,Chhattisgarh,Bijapur,,Karchuli,,Bijapur assembly constituency,"An Assistant Commandant of the CRPF, Rajpal Singh, was killed and five other CRPF personnel were injured when the CPI-Maoist cadres attacked a Police patrolling team in the forests of Karchuli village of Bijapur District. Rajpal Singh succumbed to injuries en route to the hospital, Deputy Director General (Naxal operations) Pawan Dev said.","bijapur, karchuli",80.837227,18.524351
306101001,Chhattisgarh,Dantewada,,,,,A cadre of the CPI-Maoist was killed in a gun battle with Security Forces after the Maoists executed a landmine blast in Dantewada District.,dantewada,,
306101101,Chhattisgarh,Dantewada,,Gatan,Katekalyan,Konta assembly constituency,"The CPI-Maoist cadres blew up an anti-landmine vehicle, killing 10 SF personnel - seven SPOs and three police constables - and injuring three others at bridge near Gatan village in Katekalyan area in Dantewada District. The anti-landmine vehicle of the SFs was approaching a bridge near Gatan village near Katekalyan when the Maoists triggered a powerful blast and opened indiscriminate fire on the personnel who came out of the badly damaged vehicle, Police said.","dantewada, gatan, katekalyan",81.581573,18.742224
306101201,Chhattisgarh,Bijapur,,Pamulbaya,,Bijapur,"One CPI-Maoist cadre was killed in an encounter with the BSF at Pamulbaya in Bijapur District. The encounter started as group of armed Maoists opened fire targeting the BSF camp at Pamulbaya in the morning. The BSF troopers later recovered body of a Maoist in uniform at the encounter site. The Police officer said Maoists also opened fire on other BSF camps at Cherpal, Gangalur, Reddy and Kendulnar in the District during the day. But the SFs in the camps successfully repulsed the attacks.","bijapur, pamulbaya, bijapur",80.91819,18.810951
306101301,Chhattisgarh,Sukma,,,,,"CPI-Maoist cadres opened fire at three different camps of the CRPF in Sukma District, which was suitably retaliated to by the troops. The firing went on for about an hour. There has been no loss of life or property.",sukma,,
306101302,Chhattisgarh,Kanker,,Mendra,,Antagarh,Maoists set ablaze two road construction machines and took away a tractor in Kanker District. The vehicles belonged to the forest department. The tractor was engaged in road construction work in Mendra village.,"kanker, mendra",80.902107,20.005707
306101601,Chhattisgarh,Bijapur,,,Madded,Bijapur,"CPI-Maoist cadres have killed a BJP leader and Bijapur Zila Panchayat member, Ramsai Majji, after dragging him out of his house in Bijapur District. Police said the incident took place when a group of Maoists made a forced entry into his house, which falls under Madded Police Station area, dragged him out and attacked him with sharp-edged weapons. Later, the Maoists fled into the nearby forests. Majji, who was a headmaster at a high school in Madded, joined politics after his superannuation and was elected as a member of the Zila Panchayat.","bijapur, madded, bijapur",80.536903381,18.776540756
306111201,Chhattisgarh,Raipur,Ravanbhata area,Tikarapara,Saran railway station,Raipur,"Two CPI-Maoist cadres, including a woman, were arrested from two different areas in Raipur District, with arms and ammunition including nearly 300 live cartridges. The Maoists, identified as Anjali Chauhan (35) and Mujeeb (45), were arrested after a tip off that arms were being brought to the city from Bastar region, Raipur Senior Superintendent of Police (SSP), Deepanshu Kabra said. An AK-47, a SLR and 270 cartridges were seized from the duo, SSP Kabra said. While Mujeeb was arrested from Ravanbhata area under Tikarapara Police limits, Anjali was arrested from Sarona railway station. Also, some Maoist literature and letters detailing the arms exchange, was recovered from them. Both Maoists are members of the DKSZC, Kabra added.","raipur, ravanbhata area, tikarapara, raipur",81.6405,21.221800000000002
306111301,Chhattisgarh,Rajnandgaon,,Bukmarka,,Mohla-Manpur,Four Maoists were arrested from the forests of Bukmarka village under Manpur Police Station area in Rajnandgaon District during an anti-Maoist operation by joint contingent of ITBP and District force.,"rajnandgaon, bukmarka",80.6167,20.4501
306111401,Chhattisgarh,Dantewada,,,Nerli Ghat forests,Dantewada,"A CPI-Maoist cadre, Budhram Telam who was the part of a Maoist squad allegedly planning to ambush security personnel in Dantewada District of Chhattisgarh, was arrested from Nerli Ghat forests under Bacheli Police Station limits of Dantewada District along with tiffin bomb.","chhattisgarh, dantewada, nerli ghat forests, dantewada",81.2571,18.7332
306111601,Chhattisgarh,Bijapur,,,Pamed,Bijapur assembly constituency,"Two Police Constables of the DF, identified as Virendra Mandavi and Akhilesh Chelam were injured when Maoists attacked a team of SFs personnel deployed to ensure security to a helicopter in the dense forests of Pamed in Bijapur District. ""The police personnel sustained bullet injuries as the armed Maoists opened fire on them close to Pamed police station, located around 500 km away from the state capital Raipur,"" Special Director General of Police, Anti-Maoist Operations D M Awasthi said. SFs were given the task of ensuring security to the helipad ahead of the landing of a helicopter meant to drop some troopers from Bijapur to Pamed, who had returned after the vacation.","bijapur, pamed",80.837227,18.524351
306111602,Chhattisgarh,Kondagaon,,,Vishrampuri Police Station limits,Keshkal assembly constituency,"SFs personnel have recovered a powerful IED planted by the Maoists from Kondagaon District. The explosive, weighed 8 kg, was unearthed by a team of DRG from a bridge on a rivulet in the dense forests under Vishrampuri Police Station limits, Kondagaon SP Santosh Singh said.","kondagaon, vishrampuri police station limits",81.794029,20.02714
306120601,Chhattisgarh,Dantewada,,,,,"A Police personnel, Basant Netam, was injured in an ambush by Maoists in the Dantewada District",dantewada,,
306120701,Chhattisgarh,Dantewada,,Banda,,Konta assembly constituency,Dead bodies of two civilians abducted by the CPI-Maoist on June 9 were recovered from a pond near Banda village in the Dantewada District.,"dantewada, banda",81.413078,17.945263
306120801,Chhattisgarh,Dantewada,,,,,An attack by the CPI-Maoist cadres on a visiting team of the National Human Rights Commission (NHRC) was repulsed in the Dantewada District of Chhattisgarh. Officials at state Police headquarters in Raipur said their personnel escorting the NHRC probe team fought an hour-long gun battle with the extremists following which the Maoists fled. The NHRC team was on its way to Konta area from Dantewada town.,"chhattisgarh, dantewada",,
306121001,Chhattisgarh,Kanker,,,,,Four armed cadres of the CPI-Maoist killed assistant sub-inspector of Police Shivkumar Mandawi (40) in an interior pocket of Kanker District.,kanker,,
306121002,Chhattisgarh,Dantewada,,,Bangalipara,Jagdalpur,A joint contingent of the CRPF and State Police recovered 10 IEDs from Bangalipara area in Dantewada District during a road opening exercise.,"dantewada, bangalipara",82.0448,19.067717
306121401,Chhattisgarh,Dantewada,,,Jiram valley,Konta assembly constituency,"Three CPI-Maoist cadres, including a senior 'commander' who was allegedly involved in the Jiram valley attack in May, 2013, have been arrested in Dantewada District of Chhattisgarh.","chhattisgarh, dantewada, jiram valley",81.556801,18.421059
306121501,Chhattisgarh,Bijapur,,Jinipa,Tarlaguda Police Station,Bijapur assembly constituency,"Three cadres of the CPI-Maoist, including two women, were killed in an exchange of fire between the Maoists and the SFs near Jinipa under Tarlaguda Police Station limits in Bijapur District. Apart from the bodies, Police recovered five weapons from the spot and the dead Maoists were yet to be identified, a senior Police officer said.","bijapur, jinipa, tarlaguda police station",80.837227,18.524351
306121502,Chhattisgarh,Sukma,,Tumma Vaagu,,Konta,"One Maoist was killed and three others were arrested after an encounter between the Sukma District Reserve Guard and Maoists near Tumma Vaagu village in Sukma District. Apka Pandu (27), a member of Maoist battalion, Madvi Bheema (28), a member of Bhejji Maoist militia and Madvi Somlu of Kistaram Maoist militia were arrested during the encounter.","sukma, tumma vaagu",81.3022,18.0402
306121503,Chhattisgarh,Sukma,,Gadgadmeta,,Konta,"A CRPF trooper was injured in an IED blast during a routine patrol in the Chintalnar-Burkapalli axis in Sukma District. ""The incident occurred near Gadgadmeta village when a ROP of paramilitary forces was carrying out its operation on Jagargunda-Dornapal road"", Sukma ASP Santosh Singh said.","sukma, gadgadmeta",81.2143,18.2846
306121601,Chhattisgarh,Bastar,,,Darbha Police Station limits,Jagdalpur assembly constituency,"Two Maoists were arrested and explosives recovered from their possession in Bastar District. ""The cadres, identified as Kumma and Baman, were apprehended from the forests of Darbha Police Station limits while they were trying to flee along with a tiffin bomb and gelatin sticks to the core forest,"" Bastar ASP Vijay Pandey said. Kumma was active as a member of the Dandakaranya Adivasi Kisan Majdoor Sangthan - a front outfit of the Maoists, while Baman was a jan (people's) militia member, the Additional SP added. A 5-kg tiffin bomb, seven gelatin sticks, wire and other materials were recovered from their possession.","bastar, darbha police station limits",81.864777,18.90707
306131001,Chhattisgarh,Bijapur,,,,,"Suspected cadres of the CPI-Maoist killed two villagers, identified as Podium Dhaniram (19) and Telam Santu (18), in a village market of Bijapur District.",bijapur,,
306131101,Chhattisgarh,Dantewada,,Bhejji,,Konta,"A gunbattle broke out at Bhejji Police Station in Dantewada District when CPI-Maoist cadres opened fire at the Police Station and the Policemen retaliated. However, no casualty was reported, Police said.","dantewada, bhejji",81.3022,18.0402
306131102,Chhattisgarh,Mahasamund,,,,,"A man, identified as Abul Qayyum Khan (41) was arrested and about 80 kg ammonium nitrate and 229 detonator sticks were seized from him in Mahasamund District of Chhattisgarh, Police said. Officials at Police headquarters here said they were probing if the seized explosives were meant for the Maoists.","chhattisgarh, mahasamund",,
306131201,Chhattisgarh,Sukma,,Badeshetty,,,"Three Maoists were arrested from Badeshetty village in Sukma District. ""Kalmu Sanna, Ravan Sanna and Kalmu Bundi are wanted in many cases of murder, attempt to murder. Their names also cropped up during the investigations in connection with the recent encounter between police and the ultras under Gadiras police station limits,"" Sukma Superintendent of Police Abhishek Shandilya said.","sukma, badeshetty",,
306131401,Chhattisgarh,Bijapur,,,Nelsnar,Bijapur assembly constituency,"Three CPI-Maoist cadres were arrested in two separate Police actions in Bijapur District of Chhattisgarh. Another Maoist, identified as Balram Tamo (28), was arrested from a weekly market in Nelsnar area of Bijapur District.","chhattisgarh, bijapur, nelsnar",80.837227,18.524351
306131601,Chhattisgarh,Sukma,,Gorkha,,Konta assembly constituency,"A woman CPI-Maoist cadre was killed in an exchange of fire with SFs personnel in a forest pocket of Sukma District. ""The skirmish took place between the ultras and a joint team of Special Task Force (STF) and District Reserve Group (DRG) in a forest near Gorkha village under Konta police station limits,"" Sukma SP Indira Kalyan Elesela said. Later, during search, the body of a woman Maoist was found and a muzzle loading gun seized from the spot. The killed Maoist was identified as Madkam Hidme, a member of Kistaram area platoon number 8 of Maoists.","sukma, gorkha",81.3594,17.945262909
306140601,Chhattisgarh,Dantewada,,,,,"Maoists abducted seven villagers, including six women, in Dantewada District.",dantewada,,
306140701,Chhattisgarh,Bijapur,,,Cherpal Police camp,Bijapur,"Police retaliated and foiled an attack carried out by a group of about 100 CPI-Maoist cadres at the Cherpal Police camp in the Bijapur District. The Maoists reportedly exploded a bomb and also opened fire towards the Police personnel. However, when Police opened fire the Maoists retreated and managed to escape.","bijapur, cherpal police camp, bijapur",80.91819,18.810951
306140801,Chhattisgarh,Kanker,,,,,"Maoists abducted three traders when they were on their way to Badgaon from a weekly market in the Kanker District. The Maoists initially held 30 traders captive, but later released 27 of them. The rebels also set ablaze a truck owned by the traders. One of the traders was later killed and other two let off.",kanker,,
306140901,Chhattisgarh,Dantewada,,,Jagargunda forest,Konta assembly constituency,Officials at the Police headquarters said that two Maoists were killed in a brief gun-battle in Dantewada District's Jagargunda forested stretch,"dantewada, jagargunda forest",81.413078,17.945263
306140902,Chhattisgarh,Bijapur,,,Jungla locality,Bijapur assembly constituency,Officials at the Police headquarters said that another Maoist was shot dead in Bijapur District's Jungla locality.,"bijapur, jungla locality",80.837227,18.524351
306141001,Chhattisgarh,Bijapur,,Badepalli,,Dantewada assembly constituency,Six Left Wing Extremists were arrested from Badepalli village in Bijapur District.,"bijapur, badepalli",81.346817,18.604963
306141101,Chhattisgarh,Kanker,,,,,"The Police in Chhattisgarh recovered a 25 kilograms bomb planted by the cadres of the CPI-Maoist under a culvert in a forested area, some 200 km south of Raipur in Kanker District, to target a Police convoy scheduled to pass over it later in the day. Officials at Police Headquarters here said that a Police search squad detected the bomb and defused it immediately.","chhattisgarh, kanker",,
306141102,Chhattisgarh,Dantewada,,Chhotebedma,,Konta assembly constituency,"Some 30 cadres of the CPI-Maoist raided Chhotebedma village under Kuakonda Police Station in Dantewada District and shot at Mudararam Sodhi (65), a worker of CPI and the elder brother of former MLA Nandram Sodhi, alleging him to be a Police informer.","dantewada, chhotebedma",81.581573,18.742224
306141103,Chhattisgarh,Dantewada,,Palnar,Kuakonda,Dantewada assembly constituency,"Maoists triggered a landmine blast between Palnar and Kuakonda seriously injuring two troopers of CRPF's 111th battalion, when CRPF and Police personnel were returning after an investigation on receiving information about the raid incident in Chhotebedma village.","palnar, kuakonda",81.346817,18.604963
306141201,Chhattisgarh,Raipur,,,,,"The Chhattisgarh Police arrested an alleged Maoist and a journalist and seized 160 rounds of SLR rifle and pistol in Raipur District. Senior Superintendent of Police (SSP) Deepanshu Kabra said that a Maoist identified as Bablu was arrested and ammunition along with a pistol was recovered from him. Besides, a journalist identified as Sheikh Anwar who had allegedly procured weapons and ammunition for the Maoists was also arrested. Kabra said that Anwar works as a journalist in the Maoist-affected Kota area. He along with one Ishaq Khan from Andhra Pradesh had procured the rounds either from Police or the Paramilitary Forces for supply to the Maoists and Police are on the lookout for Ishaq, the SSP said.","chhattisgarh, raipur",,
306141601,Chhattisgarh,Narayanpur,,Kilam Becha,,Kondagaon assembly constituency,"Three DRG personnel were injured in a fierce encounter with Maoists in the dense forests of Narayanpur District. The face-off took place during the wee hours in the forest of Kilam Becha village when a joint squad of the DRG and local Police was carrying out an anti-Maoist operation in the region, Special Director General of Police, Anti-Maoist operations, D.M. Awasthi said.","narayanpur, kilam becha",81.71521,19.54244
306141602,Chhattisgarh,Bastar,,,,,"As many as 47 Maoists surrendered in Bastar District citing disappointment with the ""hollow"" ideology of the CPI-Maoist. Most of the Maoists are lower-rung cadres and some of them were carrying rewards of varying amounts on their heads. Of them, Balku Mandavi, who was an active member of Military Company no. 6 of Maoists, was a prominent cadre of the region and was carrying a reward of INR 800,000 on his head. Besides, Hidme Podiyami, Hidma Madkami and Rani Kawasi, who headed the local frontal outfits of Maoists in the region, were carrying a reward of INR 100,000 each on their heads.",bastar,,
306150801,Chhattisgarh,Dantewada,,Uppalmeta,,Konta,Security forces raided a Maoist hideout near Uppelmeta under Errabore Police station in the Dantewada District. A woman Maoist was killed during an encounter that followed the raid.,"dantewada, uppelmeta",81.4304,17.9678
306151201,Chhattisgarh,Rajnandgaon,,,Katulbharora forests,,A CPI-Maoist camp was busted and a cache of ammunition and explosive material recovered from the forests of Katulbharora in Rajnandgaon District. Beside ammunition and explosive SFs seized some school uniforms.,"rajnandgaon, katulbharora",,
306151501,Chhattisgarh,Rajnandgaon,,,Bakarkatta Police Station,Khairagarh,"Santram Soni, a Police SI, was injured in an exchange of fire between the SFs and cadres of the CPI-Maoist in forests under Bakarkatta Police Station limits in Rajnandgaon District.","rajnandgaon, bakarkatta police station",80.8046,21.6079
306151603,Chhattisgarh,Sukma,,,Kerlapal,Konta assembly constituency,"The driver of an ADM of Sukma District was allegedly killed by the CPI-Maoist cadres on the charges of being a 'police informer' in Sukma District. Srinivas Bisen (35), driver of Sukma ADM Mansingh Thakur, was attacked by armed cadres while he was heading to his native village Kerlapal, located around 16 km from Sukma District headquarters, after his duty on his motorcycle, Sukma SP Indira Kalyan Elesela said.","sukma, kerlapal",81.556801,18.421059
306160801,Chhattisgarh,Bijapur,,Koder,,Bijapur,"The CPI-Maoist cadres stormed a marriage function and killed the bridegroom by slitting his throat before the guests at Koder village in the Bijapur District. The Maoists fled from the scene after killing Laxman Parlipal, who used to assist security forces at the Cherpal relief camp.","bijapur, koder, bijapur",78.3,16.2667
306161101,Chhattisgarh,Dantewada,,Duppatota,,Konta,The CPI-Maoist cadres abducted 100 tribals from Duppatota village under Dornapal Police limits in Dantewada District. Over 150 rifle-carrying Maoists marched villagers into the forest after threatening their family members against following.,"dantewada, duppatota",81.5087,18.1548
